Sentimento,Texto
0,Se cadeia é tão ruim pq a galera vive correndo atrás de um PASSE #ConversaComBial
1,"Meu rei arthur favorito é o clive owen, acho q cabe mais um aqui 😬😂 #CharlieHunnam #TheNoite"
0,"Oi, Vitor B, fiquei sabendo que tu come dogão. Já que és de POA posso te apresentar o que tem aqui na esquina de casQQQ #MasterChefBR"
1,Queria um Joaquim Lopes pra mim! #VideoShowAoVivo
1,Nem só  de baboseira vive o brasileiro! 😁🤣#MaisVoce
0,#videoShowAoVivo- o filho da Juliana era o Zac de Rock Story
0,Preciso descobrir logo qual o canal pago que reprisa o #MasterChefBR pra ver o programa de ontem
-1,Uma das maiores tristezas na minha vida ultimamente é que a Deborah do #MasterChefBR é casada com um boy :(
-1,É impressão minha ou a Paola tá mais azeda que limão velho nesse #MasterChefBR ?
1,"Catra da uma aula de política e depois fala que a nova música dele é ""Ppk chora"" kkkkkkkkk mitooo"
1,#MasterChefBR gosto de sardinha
0,"E agora? #ConversacomBial com o melhor, o Padre Fabio ou ver quem saiu no #MasterChef"
1,#MaisVoce Ana Maria que Bulsa maravilhosa!  Quero uma!!!
1,Meu Deus com uma mãe  dessa também não podia nascer diferente #encontro
0,"Já, já 📺 #NasNovelasDaNoiteSBT #CarinhaDeAnjo125😍"
1,A risada da Vanessa ahhahaha #AltasHoras
-1,#MaisVoce tem tanta matéria que está falando de canudos e sua origem
-1,Só pelo rolê da Mirian hj.. tá demorando! #MasterChefBR
0,#Encontro
1,Paolla Oliveira ❤ Jeiza ❤ #VídeoShowAoVivo #AForçaDoQuerer #VideoShowAoVivo
-1,"Depois de hoje, tem que acabar o Masterchef e botarem Siga bem Caminhoneiro no lugar #MasterChefBR"
-1,#ConversaComBial O programa está perdendo a mão. Muitos recortes! Começar com os convidados já sentados é péssimo.  Melhora aí #pedrobial
-1,#VideoShowAoVivo. A pior vilã dos desenhos animados está hoje no programa
1,Acabou as #PatroasNoRatinho mas agora tem #MalumaNoTheNoite 😍😍😍🔝🎶 divulgando a música #FelicesLos4 🇨🇴🇧🇷 #TheNoite @DaniloGentili @SBTonline.
0,Perdi #DiegoDarksonMc no #VideoShowAoVivo vejo depois no @gshow
-1,"#masterchefbr Mirian, oh, sucesso procê. A saída é ali no fundo. Brigado por ocê tê vindo, viu ?"
0,Queria participá do #MasterChefBR pra fazê aquele miojão c/ requeijão e catchup de sachê só pra vê a Ana Paula Padrão fazê careta no fundo
1,@taisdeverdade é o máximo! Adorando esse café!!
1,#AltasHoras dos mais legais de todos os tempos! :DDD #top
1,Hoje é dia de #MasterChefBR dá-lhe @MChefFabrizio não me infarte hoje! 💙
-1,"Quer dizer que festa com o tema unicórnio é só pra meninas, @ANAMARIABRAGA ? Vamos pensar antes de falar, migah! #MaisVoce"
0,Globo SP (15/05)
1,Maiara e Maraísa lindas como sempre... ❤ #ConversaComBial
-1,Não suporto prova em grupo. #MasterChefBR
-1,#MasterChefBR n sei quem eu odeio mais: miriam ou nayane
0,Mr Catra (@OficialMrCatra) falando que vai ser pai pela 33°vez. 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😂😂😂😂😂😂😂😂 #TheNoite @DaniloGentili @SBTonline.
1,#AltasHoras como não dançar ao som de É o Tchan? Kkk amo!
-1,"Acabou o #Encontro, colocaram a abertura do Plantão, cortaram, passaram o oferecimento do Encontro e apareceu o Evaristo.."
-1,Saudade quando eu assistia sempre com meu pai #MasterChefBR
0,LUCERO EU TÔ TREMENDO LUCERO #DomingoLegal
1,É incrível a tranquilidade da Paola no mercado #MasterChefBR
1,Morrendo de amores pelo @maluma no programa do @DaniloGentili. #TheNoite
-1,Por que a @fbbreal ta vendo que a pessoa ta passando vergonha em rede nacional e continua expondo ela? #Encontro #vergonhaalheia
1,#MasterChefBR
-1,competição entre as equipes e a única certeza que temos é que a Mirian vai problematizar com muito prazer. #MasterChefBR
1,Tão bonitinho o dedé com a Juliana Paes. #VideoShowAoVivo
1,"Que mulher linda,calma,serena, @tiemusica me da essa bota de presente #encontro"
-1,jornal nacional hoje mais comprido que o #MasterChefBR
1,#Encontro Ótimo tema do programa de hj. Sofro um bocado com uma pessoa em casa que é muito pessimista! Minha própria mãe. 😢😢
1,#thenoite @DaniloGentili @LeoLins @murilocouto  eu? Graças à Deus eu sou homem até hoje.
1,#encontro  das mães e ainda  tem Arnaldo Antunes que é um dos melhores do mundo.
1,MEU PARÁ MINHA BELÉM no #MasterChefBR *-*
-1,Acabou o tom funebre ja? #VideoShowAoVivo
-1,"Como giló, mas não como sardinha #MasterChefBr"
-1,É triste saber que em pleno séc XXI ainda encontra-se homens assim #Encontro
1,Cheguei a tempo de ver #ConversaComBial
-1,"Gente tá geral se fodendo, pqp #MasterChefBR"
1,"@AraMalikian é muito rock'n'roll, sensacional, me encanta!!!! #Encontro"
-1,"caramba eu sempre penso A ""Deve ter algo errado comigo!"" #Encontro"
0,Cadê o Theo?
1,a cada episódio q passa Fabrizio continua um gato ne 😏 #MasterChefBR
1,E esse cabelo maravilhoso da Vanessa da Mata? #altashoras
1,#ConversaComBial o padre @PEFABI0DEMELO sambando na cara do Bial. Nota 10
1,"@Lopesjoca, ri alto com esse carimbó estilizado no final do #VideoShowAoVivo ! Só qro ver @otacosta amanhã!!!"
1,"Que coisa mais fofa, ele é muito lindinho sz #AltasHoras"
1,O Martin da primeira temporada do #MasterChefBR é muito fofoooooo
-1,@ANAMARIABRAGA Achei deselegante o que fez com a Thais Araújo. #MaisVocê
-1,Vou precisar dormir umas 100 horas pra ver se me recupero do programa de hoje!! #MasterChefBR
-1,Quando que a globo vai comprar o #masterchefBr e o #powercouplebrasil ?? Tô no aguardo.. e descartar o #bbb e as mini séries pessimas?!
-1,#MasterChefBR Acho que chegou o momento em que vamos começar a ficar triste com cada eliminação. E a competição vai aumentar.
-1,@MuriloBakeOff2 @masterchefbr Fiquei confusa na apuração hahaha #MasterChefBR
1,"Nelson Xavier foi um grande homem,  ator e artestar!  Vai deixar muitas saudades!!! Porangatu Goiás ligado ao #videoshowaovivo"
0,"@PadreMelo ""Não me furto às perguntas inférteis! "" Para bom entendedor! @PBiaL 😂😂😂 #conversacombial"
1,cooomo eu gosto do Murilo... pqp 😂😂😂😂😂👏🏽👏🏽👏🏽
0,Só esperando pra ver qual será a treta da Mirian hoje #MasterChefBR
0,Essa músicakkkkkk #TheNoite
1,Queria esse sorvete #MasterChefBR
-1,"Só eu acho q Bial está pondo o  padre #fabiodemelo  em  uma sinuca de bico com essas perguntas, um tanto que pegadinhas???. #conversacomBial"
-1,#MasterChefBR no H&amp;H
0,#MaisVoce..Ana o FGTS não é descontado..é benefício..mas é direito nosso. O meu estava ok
-1,Menino continua como dentista mesmo. QUE HORROR! #videoshowaovivo
0,Só vai #FicaYuko #ficavitorB #MasterChefBr
1,MANA COLOCA O JAMBU JUNTO QUE É SUCESSO !!!!! #MasterchefBR
1,Melhor programa de terça #MasterChefBR 💕
1,Nao vejo logo a hora de começar.. &lt;3 😍#VideoShowAoVivo
1,Acho q a edição do @masterchefbr força um pouco a posição de vilão do Léo. Ele é um amor. E até pra mandar na Miriam foi fofo #MasterChefBR
1,Eeeeeeee 🙌 otacosta dançando carimbó amanhã em #VídeoShowAoVivo
-1,Daqui a pouco tem #MasterChefBR e #PowerCoupleBrasil e já q não tem nada melhor pra fazer vamos comentar aqui!
0,"Daqui a pouco às 13hrs, começa o Domingo Legal com elenco de CDA e @elisabrites fará para do time roxo 💜 #CDANoDomingoLegal #DomingoLegal"
1,Muito bom Padre Fabio de Melo na #ConversacomBial
0,Será que ravióli de sardinha em conserva fica bom? Vou tentar fazer isso em casa. #MasterChefBR
0,Aiii meu coração #MasterChefBR
1,#VideoShowAoVivo saudades do Wando! Que nostalgia!
-1,"Caraca, um imbecil machista falou um monte de basta no #encontro"
-1,"Queria uma bike, sdds "
1,"Eu quero esse ""SAI FOFOCA"" #VideoShowAovivo"
0,"Fogaça: “A apresentação tá horrível, muito feia. Mas o seu coração tá mole. Tá gostoso.” #MasterChefBR"
1,Fabrizio entre os melhores mas o melhor é a cara de inveja da dona Miriam #MasterChefBR
0,"Em casa era 6 filhos mais meu pai e minha mãe , é maravilhoso imagina quando cada um trazia seus amigos para casa kkk #encontro"
0,A PAOLA TA MUITO EUUU #MasterChefBR
0,eu sou pau rodado kkkj #VideoShowAoVivo
1,"Lua maravilhosa, segue normal #Encontro"
0,"#EDeCasa ele é mais baixo, logo o Centro de Gravidade fica próximo ao chão então fica mais difícil cair"
1,"Gosto muito da Fatima Bernardes,😍😍"
1,@pefabiodemelo #ConversaComBial agora que não durmo mesmo! Estou amando esse programa!
-1,"A maquiagem da Ana Maria hoje tá parecendo que foi eu que fiz, horrível! #MaisVoce"
1,"@sophiaabrahao me dá essa brusinha, o bicha maravilhosa essa mulher #VideoShowAoVivo"
0,se fosse eu eu ia fazer macarrão com sardinha enlatada kkkkkkkk #MasterChefBr
1,#MasterChefBR hj a luta vai ser boa!
0,Todo mundo segurando @EoTchanOficial 
-1,E lá se foi mais um crush do Masterchef 💔
-1,Que bagunça hoje BRASEEEL #MasterChefBR
0,"Quando nossos recursos chegam ao fim, os recursos de Deus estão todos disponíveis.#SextaDetremuraSDV #MaisVoce #NoisEhFeioMais"
0,"Tensão e emoção, essa é a cozinha do #MasterChefBR #OutraAmazônia"
1,#MaisVoce Eu quero esse pijama da Ana Maria 🦄😍
-1,"Depois do escândalo do Temer e Aécio, Ana Maria Braga vestida de unicórnio é a pior coisa que você vai ver hoje."
-1,"Quero um simpatia pra #robertocarlos me receber no camarim. Fui  show aqui, e nao deu certo mesmo estando bem pertinho dele #videoshowaovivo"
-1,Que roupa é  essa Tie? #Encontro
1,Nossa! A Sandy está num nível de beleza que só Jesus. Chega a ser um insulto com a população desprovida disso #Encontro
0,"Orquídea lembra o filme da Anaconda e a orquídea sangrenta, tipo.. "
0,#ConversaComBial E BEBO DOBRADO OUVINDO UM MODAO
0,Quando a mulher vai presa grávida fica com a criança até 6 meses depois o filho vai morar com algum parente ou pra adoção #ConversaComBial
0,"Catra vai ser pai again, novidade nenhuma kfjfondpzmdldmdl"
-1,Que confusão essa essa prova #MasterChefBR
1,@masterchefbr @MChefYuko Ela é maravilhosa monamur #MasterChefBR
1,@brauliobessa é o cara! Toda sexta fica mais linda ouvindo as poesias dele! #Encontro
1,"sardinha é uma das 7 maravilhas do mundo, com espinha e tudo #masterchefbr"
0,Tem uma menina parecida com a Vitória do Anavitória no Altas Horas hsjshshs #AltasHoras
1,#AdoçãoTardia temática importantíssima em ser levantada. #Encontro parabéns!
0,#MaisVoce SAL EM VEZ DE AÇÚCAR. NAMARIA SOU EUUUU
-1,To achando q o problema é o avental azul #MasterChefBR
1,"Bruna já é linda, fazendo a noiva louca tá ótima  #VideoShowAoVivo"
-1,"Fátima cortando o convidado do #Encontro medinho de gongarem a globo, que deselegante!"
1,"Hoje o papo do @PBiaL é com o @drauziovarella, não dá pra perder!  #Carcereiros #ConversaComBial"
1,Maluma é muito lindo!
0,"Pode entrar, MARISA, E MARAIARA #ConversaComBial"
1,#TheNoite 
-1,miriam tem fazendo hora extra no programa já #MasterChefBR
-1,Se fosse a Fátima teria convidado só global q apoiou Aecio kkkkk #Encontro
1,"#VideoShowAoVivo @otacosta sendo Tio, corrigindo (cortando) o @Lopesjoca  kkkk #épico"
0,Eu sou assim kkk n consigo falar nd q sinto 😂 #Encontro
1,A linda da @vanessadamata no #AltasHoras 😊
1,É o tchan no #altashoras ❤️❤️❤️
0,Consolidados - GLOBO (15/05):
-1,O cara que mais joga sujo falando sobre o que é justo ou não.  Difícil aturar esse Leonardo. #MasterChefBR
1,Eu to rindo muito do susto da NaMaria passando roupa. Parece eu.
-1,Não posso com esse programa me dá um desespero pqp #EquipeAzul #MasterChefBR
-1,"Aí que agonia essa Marian, meu Deus do céu, mulher!! #MasterChefBR"
1,Gente a Sandy tava tão linda no #encontro
-1,SOCORRO QUE NERVOSO VAI TOMAR NO CU #MasterChefBR
1,"Baixinhas, gordinha e donas do meu coração 😍 #MaiaraeMaraisaNoBial #ConversaComBial @MaiaraeMaraisa"
-1,"Vai se inspira na família e tem 09 filhos,você se lasca #encontro"
-1,Por isso n casou nem vai casar querido!!! Até meu irmão de 10 anos tem um pensamento melhor que esse..  #Encontro
1,A Ana arrasou! Parecia a mais perdida #MasterChefBR
0,@masterchefbr hoje as duas equipes estão na luta agora basta saber qual será nocauteada. #MasterChefBR
1,Preciso ler este livro! :D 
0,É só fritar e fazer uma vinagrete 👌🏾#MasterChefBR
-1,Acordei agora insatisfeita com o resultado do #MasterChefBR
0,Como é que dorme agora depois destas fortes emoções do #MasterChefBR
-1,As senhoras tão se achando as SABIDONAS do ferro de passar. Kkkkkk #maisvoce
1,"#videoshowaovivo Nanda Costa lacrando na próxima das 19h00!!!! Adoooooro!!! Nossa eterna heroína de ""Salve Jorge""!!!! 💋💋💋💋💋💋💋❤❤❤❤❤❤❤❤"
1,mal começou o programa e eu já tô chorando #AltasHoras
0,"Rauuulll, fala de quando ele trabalhou no Juliaaaa 😂😂😂"
0,Eu acho que sou um cara meio frustrado por não ter conhecido a Hebe Camargo! Sempre fui fã. Tô emocionado. #MaisVoce
1,Braulio sempre com suas poesias 😍 #Encontro
0,Estou aqui só ver se consigo acompanhar o #Masterchefbr hoje mas estou tão cansada... Vamos ver...
1,Melhor programa da VIDA esse de hoje ! kkkkkkkkk #MaisVoce
-1,"Tá errado @masterchefbr o Victor não fez a prova pq ele se machucou, não foi um fator externo. Injusto com o Abel. #masterchefbr"
1,#ConversaComBial
-1,"@VideoShowasVIVO Bora melhorar as pesquisas sobre a cultura paraense, a DINDIN aqui é dinheiro! sacolé = chopp  #VideoShowAoVivo"
-1,#AltasHoras apareceu o índice de morte na minha cidade tô muito assustado #BelemPedePaz
0,O Tchan já pode substituir a morena pela Bella Gil! #AltasHoras
1,Rafael ainda nem nasceu e já escuta @Rua15Saulo #anjo #40semanas #EDeCasa
1,"#ConversaComBial, até que enfim um excelente programa de entrevistas na TV aberta. 👍"
1,"Amei o Nelson Xavier em Tenda dos milagres, estou lendo o livro de Jorge Amado.#videoshowaovivo"
-1,Estava assistindo #MasterChefBR agr no yt e gente..a da Mirian tava ridicula parecia comida dos meus priminhos td misturado devia ter saido
1,"#MasterChefBR #EquipeAzul Minha torcida para a equipe azul, vamos lá arrebentar."
1,"Amava Sexo Frágil!!! Essa risada da ""irmã"" do Lázaro Ramos era muito boa! #VideoShowAoVivo"
1,Felizmente Deborah a salvo #MasterChefBR
-1,"@masterchefbr @MChefMirian Isso @MChefMirian pede o fôlego e volta pra casa, pois ninguém mais aguenta você! #MasterChefBR"
1,A mãe do Serginho! ❤❤❤❤
1,"#TheNoite  o melhor quadro, Mestre mandou ."
1,É o Tchan é minha religião #altashoras
1,Sofia linda esse seu batom tá show e Joaquim como sempre lindo bjusss da paraiba #VideoShowAoVivo
-1,Vitor B é muito bebezinho @MChefVitorB  #MasterChefBR
-1,Não consigo olhar para a Sandy @SandyLeah e imaginar ela peidando!! #Encontro
1,Amanhã nossa amada @vanessadamata no #AltasHoras com @oserginho
1,As pessoas tem q entender: não​ dizer não significa não sentir. E há outras formas de demonstrar. Por exemplo através de abraços. #Encontro
1,"Bixinho do @MChefDouglas estava torcendo por ele, 💋 gato #MasterChefbr"
1,O papai chegou HAHAHA #MrCatra 
-1,Esse sotaque da Lucero me mata tanto 😭 #DomingoLegal
1,Lais Souza e muito linda #AltasHoras
-1,E esse branco falando sobre racismo? Preguiça #Encontro
1,@Ka_SPN_BSB o @pefabiodemelo tah no pgm do @Bial!!! #conversacomBial
1,"Ana Maria Braga vestida de unicórnio , que inveja ! Quero um pijama desse também #MaisVoce"
1,"@complicadisso Tadinha.  É que tem que entregar o programa, tanto assunto e pouco tempo. #Encontro"
1,Melhor programa #altashoras começando com #éotchan se eu amo? 💗💗💗
1,Que fofas a Maiara e Maraísa gente!Lindas cantando Elis Regina Como nossos pais.Lindamente cantaram #ConversaComBial
1,Eu ligo agora no #MasterChefBR e estão logo fazendo comida da minha terrinha. Que saudade.
1,"O prato do @MChefFernando tava tão legal, meu!#MasterChefBR"
-1,@doriazoeiro Coitada da Taís Araújo!!! 🍲😂😂😂🍲Kkkkkkk #MaisVocê
0,seguindo geral que me seguir agora... @MariahDinda #VerãoComDetremuraSDV #MafiaSDV #SDV?L=2606 #conex #Encontro #ChegandoDiaDasMaesEEu 2606
1,"Dêem os parabéns ao @alerossioficial pelo seu dia, pois hoje é dia do Zootecnista! 👏👏👏"
1,Ahhh vai começar uhuuu😍😍👏🏼👏🏼👏🏼👏🏼👏🏼💜💜 @MaiaraeMaraisa #MaiaraeMaraisaNoBial #ConversaComBial
1,o Mestre mandou é o melhor quadro velho kkkk 
1,#VideoShowAoVivo
-1,Acho que o Victor B roda hoje!
-1,Pensei que você pegadinha
-1,Tô passada pra quanto essas moças são corrompidas pelo machismo e defendem sua femilidade como se fossem feministas #ConversaComBial
1,As azaléias podem virar árvores? #EDeCasa
1,é claro que é a Dani Calabresa #videoshowaovivo
1,Vivian vai ser chamada nos próximos dias para fazer um teste para o #VideoShowAoVivo
1,imagina que top ser filha da Fátima Bernardes e do William Bonner #encontro
1,Fátima Bernardes no #videoshowaovivo 🤗👏👏👏
-1,Eu tô com medo que o Douglas saia :( #MasterChefBR
1,História bêbada do @LeoLins hj kkkkk #TheNoite
-1,AI CARALHO TO MTO NERVOSA #MasterChefBR
1,"#VideoShowAoVivo outra coisa jocaota. tem brilho, tem graça amoooo"
-1,"#VideoShowAoVivo O da Mariah tá ridículo, o short está torto?"
-1,#thenoite @DaniloGentili  Palmito do cú rosê
1,@CarlosCaleu  
1,Meu amigos que foram pra Tailândia fizeram aula pelo canal da @MChefYuko ... #MasterChefBR
1,Pedro Bial entrevistou o Lauro Jardim... ele deu uma mini aula de apuração.  Amei! #conversacombial
0,Kd a turma do #MasterChefBR? Tô com saudade @caucherques @mguima @nanaareas @SannaRodrigues @Pati_Saiene @gut0 @raphaella_lira???
1,#VideoShowAoVivo é a Fátima Bernardes c certeza😁😀😘😘
-1,Não entendo esses jurados do @masterchefbr querem e cobram criatividade de TDS menos da Yoko #MasterChefBR #xenofobia
1,MINHA SERIEEEEE #TheNoite
1,Hoje @sophiaabrahao estará no programa #AltasHoras Linda como sempre 😍
1,Cara vendo ontem #ConversaComBial chego à conclusão: tem alguém que ainda não ame @MaiaraeMaraisa? 
-1,"Tá rolando um boato que a Ana Luiza seria Profissional,isto procede @masterchefbr se for quero o Vitor B de volta pra ontem. #masterchefBR"
1,"Aqui em Goiás galinhada pede milho verde, e se tiver pequi fica melhor ainda."
-1,Confesso q nao sei qm eu qro q saia hj. Vcs despedaçaram meu coração. #MasterChefBR
1,Cara que saudades da Hebe. Pqp. #maisvoce
1,. @danstulbach no #MaisVoce 😍 Ô homem maravilhoso
1,#VideoShowAoVivo Amando esse programa gostosoo
1,"Queria experimentar a tal ""sardinhada"". rs #MasterChefBR"
1,Tá quaseeeee 😍 #MaiaraeMaraisaNoBial #ConversaComBial @MaiaraeMaraisa @conversacbial
1,#videoshowaovivo
1,"@MChefAnaLuiza E eu amo tua presença nesse programa, sua linda! #MasterChefBR"
1,"O Brasil é um lugar que entre as hashtags #LulaEuConfio  e a do moro orgulho brasileiro, tem a #MasterChefBR. Somos versáteis rs"
-1,POXA VITOR #MasterChefBR
-1,My new list do #MasterChefBR :
1,Tenho muita vontade de trocar uma ideia com o @drauziovarella alguma vez na vida. #ConversaComBial
1,eu estou chorani com esse #MasterChefBR
1,"Se eu fosse apresentador, acho que adoraria trabalhar em um cenário igual ao #ÉDeCasa... super agradável, tudo integrado com áreas externas"
1,"Pra me ganhar de vez: VIAVIANE FAZ PLANILHAS, É NERD, ESTUDAAAAAA, ATRIZ DE VERDADE, SE ORGANIZA"
1,Morry 😍 Hj Maiara &amp; Maraisa no meu programa queridinho @MaiaraeMaraisa 🌹❤️🌹 #ConversaComBial
0,"Coisa boa, ela comeu pouco na primeira vez"
-1,O prato de hoje é esse vomito selado com esse gorfo verde etc #MasterChefBR
1,#thenoite @DaniloGentili  @roxmo  que massa ciúme com Mr.  Catra . @UltrajeOficial
1,Não são nem 22h e eu já estou na sede de masterchef #MasterChefBR
1,"Chocada com a fofurisse do filho do Serginho, atingiu todos os limites de fofura dançando é o tchan @oserginho #altashoras"
